"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"G14","PC8","I/O","","","SYS_TRACED1","","TIM3_CH3","TIM8_CH3","","","","UART5_DE/UART5_RTS","USART6_CK","","","","SDMMC1_D0"
"G15","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","SDMMC2_D7","","SDMMC1_D7"
"H1","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","",""
"H2","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2"
"H3","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1"
"H4","PH4","I/O","","","","","","","I2C2_SCL","","","","","","USB_OTG_HS_ULPI_NXT","",""
"H6","VSS","Power","","","","","","","","","","","","","","",""
"H7","VSS","Power","","","","","","","","","","","","","","",""
"H8","VSS","Power","","","","","","","","","","","","","","",""
"H9","VSS","Power","","","","","","","","","","","","","","",""
"H10","VSS","Power","","","","","","","","","","","","","","",""
"H12","VSS","Power","","","","","","","","","","","","","","",""
"H13","VDDUSB","Power","","","","","","","","","","","","","","",""
"H14","PG8","I/O","","","","","","","","","","","USART6_DE/USART6_RTS","","","","FMC_SDCLK"
"H15","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","SDMMC2_D6","","SDMMC1_D6"
"J1","NRST","Reset","","","","","","","","","","","","","","",""
"J2","PF3","I/O","","","","","","","","","","","","","","","FMC_A3"
"J3","PF4","I/O","","","","","","","","","","","","","","","FMC_A4"
"J4","PH5","I/O","","","","","","","I2C2_SDA","SPI5_NSS","","","","","","","FMC_SDNWE"
"J6","VSS","Power","","","","","","","","","","","","","","",""
"J7","VSS","Power","","","","","","","","","","","","","","",""
"J8","VSS","Power","","","","","","","","","","","","","","",""
"J9","VSS","Power","","","","","","","","","","","","","","",""
"J10","VSS","Power","","","","","","","","","","","","","","",""
"J12","VDD","Power","","","","","","","","","","","","","","",""
"J13","VDD","Power","","","","","","","","","","","","","","",""
"J14","PG7","I/O","","","","","","","","","","","USART6_CK","","","","FMC_INT"
"J15","PG6","I/O","","","","","","","","","","","","","","",""
"K1","PF7","I/O","","","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","QUADSPI_BK1_IO2","","",""
"K2","PF6","I/O","","","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","QUADSPI_BK1_IO3","","",""
"K3","PF5","I/O","","","","","","","","","","","","","","","FMC_A5"
"K4","VDD","Power","","","","","","","","","","","","","","",""
"K6","VSS","Power","","","","","","","","","","","","","","",""
"K7","VSS","Power","","","","","","","","","","","","","","",""
"K8","VSS","Power","","","","","","","","","","","","","","",""
"K9","VSS","Power","","","","","","","","","","","","","","",""
"K10","VSS","Power","","","","","","","","","","","","","","",""
"K12","PH12","I/O","","","","","TIM5_CH3","","","","","","","","","","FMC_D20"
"K13","PG5","I/O","","","","","","","","","","","","","","","FMC_A15/FMC_BA1"
"K14","PG4","I/O","","","","","","","","","","","","","","","FMC_A14/FMC_BA0"
"K15","PG3","I/O","","","","","","","","","","","","","","","FMC_A13"
"L1","PF10","I/O","","","","","","","","","","","","","","",""
"L2","PF9","I/O","","","","","","","","SPI5_MOSI","SAI1_FS_B","","UART7_CTS","TIM14_CH1","QUADSPI_BK1_IO1","",""
"L3","PF8","I/O","","","","","","","","SPI5_MISO","SAI1_SCK_B","","UART7_DE/UART7_RTS","TIM13_CH1","QUADSPI_BK1_IO0","",""
"L4","BYPASS_REG","Reset","","","","","","","","","","","","","","",""
"L12","PH11","I/O","","","","","TIM5_CH2","","","","","","","","","","FMC_D19"
"L13","PH10","I/O","","","","","TIM5_CH1","","","","","","","","","","FMC_D18"
"L14","PD15","I/O","","","","","TIM4_CH4","","","","","","UART8_DE/UART8_RTS","","","","FMC_D1/FMC_DA1"
"L15","PG2","I/O","","","","","","","","","","","","","","","FMC_A12"
"M1","VSSA","Power","","","","","","","","","","","","","","",""
"M2","PC0","I/O","","","","","","","","","","","SAI2_FS_B","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE"
"M3","PC1","I/O","","","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","",""
"M4","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","","FMC_SDNE0"
"M5","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","","FMC_SDCKE0"
"M6","PB2","I/O","","","","","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","","",""
"M7","PG1","I/O","","","","","","","","","","","","","","","FMC_A11"
