"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"135","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","","","","","EVENTOUT"
"136","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","TIM8_CH1","TIM8_ETR","USART1_TX","","","TIM8_BKIN2","","","","","EVENTOUT"
"137","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","TIM8_BKIN","","USART1_RX","","","TIM3_CH4","","FMC_NL","","","EVENTOUT"
"138","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"139","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","TSC_SYNC","I2C1_SCL","","","USART3_RX","COMP1_OUT","CAN_RX","TIM8_CH2","","TIM1_BKIN","","","EVENTOUT"
"140","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","CAN_TX","TIM8_CH3","","","","","EVENTOUT"
"141","PE0","I/O","","","","EVENTOUT","TIM4_ETR","","TIM16_CH1","","TIM20_ETR","USART1_TX","","","","","FMC_NBL0","","",""
"142","PE1","I/O","","","","EVENTOUT","","","TIM17_CH1","","TIM20_CH4","USART1_RX","","","","","FMC_NBL1","","",""
"143","VSS","Power","","","","","","","","","","","","","","","","","",""
"144","VDD","Power","","","","","","","","","","","","","","","","","",""
