"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"51","PC10","I/O","","","","","","DFSDM2_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","","QUADSPI_BK1_IO1","","","SDIO_D2","","","EVENTOUT"
"52","PC11","I/O","","","","","","DFSDM2_DATIN5","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","FSMC_D2/FSMC_DA2","","SDIO_D3","","","EVENTOUT"
"53","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","FSMC_D3/FSMC_DA3","","SDIO_CK","","","EVENTOUT"
"54","PD2","I/O","","","","","TIM3_ETR","DFSDM2_CKOUT","","","","","UART5_RX","","FSMC_NWE","","SDIO_CMD","","","EVENTOUT"
"55","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","FMPI2C1_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART1_RX","UART7_RX","I2C2_SDA","SAI1_SD_A","CAN3_RX","","","","EVENTOUT"
"56","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","I2S3_ext_SD/SPI1_MISO","SPI3_MISO","","UART7_TX","I2C3_SDA","SAI1_SCK_A","CAN3_TX","SDIO_D0","","","EVENTOUT"
"57","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","SAI1_FS_A","UART5_RX","SDIO_D3","","","EVENTOUT"
"58","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","","I2C1_SCL","","DFSDM2_CKIN7","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","UART5_TX","SDIO_D0","","","EVENTOUT"
"59","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","","I2C1_SDA","","DFSDM2_DATIN7","USART1_RX","","","","","FSMC_NL","","","EVENTOUT"
"60","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","LPTIM1_OUT","TIM4_CH3","TIM10_CH1","I2C1_SCL","","I2S5_SD/SPI5_MOSI","DFSDM2_CKIN1","CAN1_RX","I2C3_SDA","","UART5_RX","SDIO_D4","","","EVENTOUT"
"62","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","DFSDM2_DATIN1","","CAN1_TX","I2C2_SDA","","UART5_TX","SDIO_D5","","","EVENTOUT"
"63","VSS","Power","","","","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","","","","",""
