"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"172","PD6","I/O","","","","","","DFSDM1_CKIN4","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","DFSDM1_DATIN1","SDMMC2_CK","FMC_NWAIT","DCMI_D10","LTDC_B2"
"173","PD7","I/O","","","","","","DFSDM1_DATIN4","","I2S1_SD/SPI1_MOSI","DFSDM1_CKIN1","USART2_CK","SPDIFRX_IN0","","","SDMMC2_CMD","FMC_NE1","",""
"174","PJ12","I/O","","","","","","","","","","","","LTDC_G3","","","","","LTDC_B0"
"175","PJ13","I/O","","","","","","","","","","","","LTDC_G4","","","","","LTDC_B1"
"176","PJ14","I/O","","","","","","","","","","","","","","","","","LTDC_B2"
"177","PJ15","I/O","","","","","","","","","","","","","","","","","LTDC_B3"
"178","PG9","I/O","","","","","","","","SPI1_MISO","","SPDIFRX_IN3","USART6_RX","QUADSPI_BK2_IO2","SAI2_FS_B","SDMMC2_D0","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"179","PG10","I/O","","","","","","","","I2S1_WS/SPI1_NSS","","","","LTDC_G3","SAI2_SD_B","SDMMC2_D1","FMC_NE3","DCMI_D2","LTDC_B2"
"180","PG11","I/O","","","","","","","","I2S1_CK/SPI1_SCK","","SPDIFRX_IN0","","","SDMMC2_D2","ETH_TX_EN","","DCMI_D3","LTDC_B3"
"181","PG12","I/O","","","","","","LPTIM1_IN1","","SPI6_MISO","","SPDIFRX_IN1","USART6_DE/USART6_RTS","LTDC_B4","","SDMMC2_D3","FMC_NE4","","LTDC_B1"
"182","PG13","I/O","","","SYS_TRACED0","","","LPTIM1_OUT","","SPI6_SCK","","","USART6_CTS","","","ETH_TXD0","FMC_A24","","LTDC_R0"
