"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"D6","PD6","I/O","","","","","","SAI1_D1","","","","","","TSC_G5_IO3","QUADSPI_BK1_IO2","","","SAI1_SD_A",""
"D8","PD3","I/O","","","","","","SPI2_SCK","","SPI2_MISO","","","","","QUADSPI_BK1_NCS","","","",""
"D10","PC6","I/O","","","","","","","","","","","","TSC_G4_IO1","","LCD_SEG24","","",""
"D11","PC8","I/O","","","","","","","","","","","","TSC_G4_IO3","","LCD_SEG26","","",""
"D12","PC7","I/O","","","","","","","","","","","","TSC_G4_IO2","","LCD_SEG25","","",""
"E2","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"E3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"E5","VSS","Power","","","","","","","","","","","","","","","","",""
"E7","VSS","Power","","","","","","","","","","","","","","","","",""
"E9","VSS","Power","","","","","","","","","","","","","","","","",""
"E11","PB14","I/O","","","","TIM1_CH2N","","","I2C3_SDA","SPI2_MISO","","","","TSC_G1_IO3","","LCD_SEG14","","SAI1_MCLK_A",""
"E12","PB13","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI2_SCK","","","LPUART1_CTS","TSC_G1_IO2","","LCD_SEG13","","SAI1_SCK_A",""
"F1","PH0","I/O","","","","","","","","","","","","","","","","",""
"F2","VDDCAP","Power","","","","","","","","","","","","","","","","",""
"F3","VSS","Power","","","","","","","","","","","","","","","","",""
"F4","PC13","I/O","","","","","","","","","","","","","","","","",""
"F6","VDD","Power","","","","","","","","","","","","","","","","",""
"F8","VDD","Power","","","","","","","","","","","","","","","","",""
"F10","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","SPI2_MOSI","","","","TSC_G1_IO4","","LCD_SEG15","","SAI1_SD_A",""
"F11","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"F12","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"F13","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"G1","PH3-BOOT0","I/O","","","RCC_LSCO","","","","","","","","","","","","","",""
"G2","PH1","I/O","","","","","","","","","","","","","","","","",""
"G3","PB8","I/O","","","","TIM1_CH2N","","SAI1_CK1","I2C1_SCL","","","","","","QUADSPI_BK1_IO1","LCD_SEG16","","SAI1_MCLK_A","TIM16_CH1"
"G5","VSS","Power","","","","","","","","","","","","","","","","",""
"G7","VDD","Power","","","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","","","",""
